GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1500000US130890201001,130890201001,"Block Group 1, Census Tract 201, DeKalb County, Georgia",1908,124,992,102,74,33,87,34,55,25,12,11,7,10,0,13,4,8,20,15,67,37,89,42,70,43,106,48,78,32,97,37,48,26,18,15,76,41,25,14,17,18,27,14,6,8,5,8,4,7,916,92,57,41,93,39,69,30,32,18,9,14,0,13,5,8,6,9,77,48,73,38,49,26,135,51,40,21,79,48,68,29,24,19,56,22,11,9,16,14,6,9,5,7,0,13,6,9
1500000US130890202001,130890202001,"Block Group 1, Census Tract 202, DeKalb County, Georgia",901,155,438,145,41,59,8,14,75,72,8,12,0,13,0,13,0,13,0,13,0,13,50,44,38,30,17,18,8,13,44,37,18,23,42,31,8,12,22,23,22,18,6,9,23,22,8,12,0,13,463,105,30,33,22,32,9,15,0,13,0,13,0,13,0,13,7,11,50,42,17,18,29,27,60,31,0,13,73,44,44,35,0,13,28,27,7,11,14,12,21,20,37,43,7,11,8,12
1500000US130890202002,130890202002,"Block Group 2, Census Tract 202, DeKalb County, Georgia",1188,210,612,154,18,20,24,26,0,13,0,13,0,13,0,13,8,14,0,13,202,155,73,43,57,46,61,35,14,22,9,14,38,38,70,43,30,30,8,12,0,13,0,13,0,13,0,13,0,13,576,119,30,25,35,29,0,13,8,12,0,13,0,13,0,13,50,50,106,52,122,75,35,29,57,56,34,28,31,34,0,13,0,13,40,35,0,13,28,26,0,13,0,13,0,13,0,13
1500000US130890203001,130890203001,"Block Group 1, Census Tract 203, DeKalb County, Georgia",840,206,436,136,36,27,52,54,11,17,0,13,11,19,0,13,0,13,11,19,19,21,20,19,27,24,105,70,33,48,27,24,16,27,26,18,21,25,12,15,0,13,0,13,0,13,0,13,9,15,404,92,48,34,40,33,8,12,0,13,0,13,0,13,0,13,10,16,19,20,49,31,36,28,42,32,38,46,32,37,32,24,0,13,15,16,20,14,8,13,0,13,0,13,0,13,7,12
1500000US130890203002,130890203002,"Block Group 2, Census Tract 203, DeKalb County, Georgia",1049,199,571,127,37,29,50,36,62,47,12,17,19,28,0,13,15,22,0,13,38,43,45,33,88,67,96,57,26,24,21,23,8,13,25,23,0,13,12,16,0,13,17,15,0,13,0,13,0,13,478,129,49,49,21,23,57,49,10,15,0,13,0,13,6,9,12,19,13,19,105,52,86,51,18,22,28,26,16,18,24,19,0,13,20,17,13,14,0,13,0,13,0,13,0,13,0,13
1500000US130890203003,130890203003,"Block Group 3, Census Tract 203, DeKalb County, Georgia",1930,273,942,183,40,40,63,42,30,28,21,28,0,13,0,13,0,13,44,32,103,68,70,41,154,85,53,34,214,105,33,25,61,37,0,13,16,18,0,13,15,15,25,18,0,13,0,13,0,13,988,168,42,30,81,43,62,44,10,16,45,45,30,46,31,34,45,44,150,108,18,20,120,58,81,46,131,55,33,35,51,30,0,13,7,12,24,20,27,24,0,13,0,13,0,13,0,13
1500000US130890204001,130890204001,"Block Group 1, Census Tract 204, DeKalb County, Georgia",1684,202,823,160,62,38,154,88,42,36,8,13,0,13,0,13,0,13,11,17,72,51,69,36,42,26,96,40,105,52,28,25,47,38,0,13,43,38,27,18,0,13,17,17,0,13,0,13,0,13,861,120,10,15,42,30,59,49,7,10,35,49,0,13,8,13,6,9,213,81,131,64,52,28,118,52,55,38,13,17,50,28,0,13,29,17,25,21,8,12,0,13,0,13,0,13,0,13
1500000US130890204002,130890204002,"Block Group 2, Census Tract 204, DeKalb County, Georgia",901,144,397,91,10,16,41,31,51,42,0,13,0,13,0,13,0,13,0,13,14,15,46,30,68,37,47,32,35,28,36,25,18,20,0,13,25,22,6,11,0,13,0,13,0,13,0,13,0,13,504,89,20,21,22,21,50,40,9,15,0,13,0,13,0,13,0,13,61,43,83,46,59,47,39,30,45,25,47,36,16,18,7,11,0,13,14,12,9,15,23,34,0,13,0,13,0,13
1500000US130890205001,130890205001,"Block Group 1, Census Tract 205, DeKalb County, Georgia",1193,273,536,144,9,15,31,39,8,17,15,21,24,33,0,13,0,13,66,94,54,32,30,30,9,15,74,64,9,14,39,55,21,21,26,30,33,39,19,30,0,13,42,52,27,26,0,13,0,13,657,209,76,70,30,37,0,13,0,13,0,13,0,13,0,13,0,13,115,91,41,42,77,57,41,36,0,13,19,34,68,60,10,15,18,27,55,36,8,12,25,24,32,30,32,49,10,18
