GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US130890201001,130890201001,"Block Group 1, Census Tract 201, DeKalb County, Georgia",153177,26899
1500000US130890202001,130890202001,"Block Group 1, Census Tract 202, DeKalb County, Georgia",134250,71192
1500000US130890202002,130890202002,"Block Group 2, Census Tract 202, DeKalb County, Georgia",70260,17042
1500000US130890203001,130890203001,"Block Group 1, Census Tract 203, DeKalb County, Georgia",118472,43563
1500000US130890203002,130890203002,"Block Group 2, Census Tract 203, DeKalb County, Georgia",143182,66133
1500000US130890203003,130890203003,"Block Group 3, Census Tract 203, DeKalb County, Georgia",86750,24173
1500000US130890204001,130890204001,"Block Group 1, Census Tract 204, DeKalb County, Georgia",77235,7197
1500000US130890204002,130890204002,"Block Group 2, Census Tract 204, DeKalb County, Georgia",90664,29942
1500000US130890205001,130890205001,"Block Group 1, Census Tract 205, DeKalb County, Georgia",27896,11240
1500000US130890205002,130890205002,"Block Group 2, Census Tract 205, DeKalb County, Georgia",50817,11199
1500000US130890206001,130890206001,"Block Group 1, Census Tract 206, DeKalb County, Georgia",32841,20357
1500000US130890206002,130890206002,"Block Group 2, Census Tract 206, DeKalb County, Georgia",40521,6432
1500000US130890207001,130890207001,"Block Group 1, Census Tract 207, DeKalb County, Georgia",46771,10360
1500000US130890208011,130890208011,"Block Group 1, Census Tract 208.01, DeKalb County, Georgia",87073,11489
1500000US130890208012,130890208012,"Block Group 2, Census Tract 208.01, DeKalb County, Georgia",63828,18114
1500000US130890208021,130890208021,"Block Group 1, Census Tract 208.02, DeKalb County, Georgia",59643,27472
1500000US130890208022,130890208022,"Block Group 2, Census Tract 208.02, DeKalb County, Georgia",32857,12015
1500000US130890208023,130890208023,"Block Group 3, Census Tract 208.02, DeKalb County, Georgia",63958,21636
1500000US130890208024,130890208024,"Block Group 4, Census Tract 208.02, DeKalb County, Georgia",69178,24687
1500000US130890209001,130890209001,"Block Group 1, Census Tract 209, DeKalb County, Georgia",45425,10994
1500000US130890209003,130890209003,"Block Group 3, Census Tract 209, DeKalb County, Georgia",50667,28621
1500000US130890209004,130890209004,"Block Group 4, Census Tract 209, DeKalb County, Georgia",49264,8433
1500000US130890211011,130890211011,"Block Group 1, Census Tract 211.01, DeKalb County, Georgia",128333,31228
1500000US130890211021,130890211021,"Block Group 1, Census Tract 211.02, DeKalb County, Georgia",61825,25135
1500000US130890211022,130890211022,"Block Group 2, Census Tract 211.02, DeKalb County, Georgia",109327,31857
1500000US130890211023,130890211023,"Block Group 3, Census Tract 211.02, DeKalb County, Georgia",62209,44807
1500000US130890211024,130890211024,"Block Group 4, Census Tract 211.02, DeKalb County, Georgia",75878,14480
1500000US130890212021,130890212021,"Block Group 1, Census Tract 212.02, DeKalb County, Georgia",73869,27775
1500000US130890212022,130890212022,"Block Group 2, Census Tract 212.02, DeKalb County, Georgia",125375,40134
1500000US130890212023,130890212023,"Block Group 3, Census Tract 212.02, DeKalb County, Georgia",87083,32210
1500000US130890212041,130890212041,"Block Group 1, Census Tract 212.04, DeKalb County, Georgia",23514,4211
1500000US130890212042,130890212042,"Block Group 2, Census Tract 212.04, DeKalb County, Georgia",23403,12966
1500000US130890212043,130890212043,"Block Group 3, Census Tract 212.04, DeKalb County, Georgia",27104,14045
1500000US130890212081,130890212081,"Block Group 1, Census Tract 212.08, DeKalb County, Georgia",51649,9040
1500000US130890212082,130890212082,"Block Group 2, Census Tract 212.08, DeKalb County, Georgia",72955,21359
1500000US130890212091,130890212091,"Block Group 1, Census Tract 212.09, DeKalb County, Georgia",91838,40181
1500000US130890212092,130890212092,"Block Group 2, Census Tract 212.09, DeKalb County, Georgia",58271,10272
1500000US130890212093,130890212093,"Block Group 3, Census Tract 212.09, DeKalb County, Georgia",47321,25568
1500000US130890212094,130890212094,"Block Group 4, Census Tract 212.09, DeKalb County, Georgia",96513,32406
1500000US130890212101,130890212101,"Block Group 1, Census Tract 212.10, DeKalb County, Georgia",116806,42799
1500000US130890212102,130890212102,"Block Group 2, Census Tract 212.10, DeKalb County, Georgia",93036,50468
