GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,,,,,,,,,,,,,,,,,,
Id,Id2,Geography,Estimate, Total:,Margin of Error, Total:,Estimate, Total: - White alone,Margin of Error, Total: - White alone,Estimate, Total: - Black or African American alone,Margin of Error, Total: - Black or African American alone,Estimate, Total: - American Indian and Alaska Native alone,Margin of Error, Total: - American Indian and Alaska Native alone,Estimate, Total: - Asian alone,Margin of Error, Total: - Asian alone,Estimate, Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error, Total: - Native Hawaiian and Other Pacific Islander alone,Estimate, Total: - Some other race alone,Margin of Error, Total: - Some other race alone,Estimate, Total: - Two or more races:,Margin of Error, Total: - Two or more races:,Estimate, Total: - Two or more races: - Two races including Some other race,Margin of Error, Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US130890201001,130890201001,"Block Group 1, Census Tract 201, DeKalb County, Georgia",1908,124,1779,131,38,24,0,13,75,48,0,13,0,13,16,20,0,13,16,20,,,,,,,,,,,,,,,,,,
1500000US130890202001,130890202001,"Block Group 1, Census Tract 202, DeKalb County, Georgia",901,155,877,157,16,24,0,13,8,14,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890202002,130890202002,"Block Group 2, Census Tract 202, DeKalb County, Georgia",1188,210,1002,202,106,77,0,13,21,23,0,13,52,47,7,13,0,13,7,13,,,,,,,,,,,,,,,,,,
1500000US130890203001,130890203001,"Block Group 1, Census Tract 203, DeKalb County, Georgia",840,206,748,188,50,82,0,13,10,15,0,13,0,13,32,34,0,13,32,34,,,,,,,,,,,,,,,,,,
1500000US130890203002,130890203002,"Block Group 2, Census Tract 203, DeKalb County, Georgia",1049,199,990,208,26,38,0,13,12,18,0,13,0,13,21,32,0,13,21,32,,,,,,,,,,,,,,,,,,
1500000US130890203003,130890203003,"Block Group 3, Census Tract 203, DeKalb County, Georgia",1930,273,1600,257,116,69,30,45,81,53,0,13,73,85,30,37,0,13,30,37,,,,,,,,,,,,,,,,,,
1500000US130890204001,130890204001,"Block Group 1, Census Tract 204, DeKalb County, Georgia",1684,202,1463,220,45,45,0,13,115,72,0,13,9,14,52,61,0,13,52,61,,,,,,,,,,,,,,,,,,
1500000US130890204002,130890204002,"Block Group 2, Census Tract 204, DeKalb County, Georgia",901,144,749,141,74,63,0,13,9,15,0,13,0,13,69,53,13,23,56,46,,,,,,,,,,,,,,,,,,
1500000US130890205001,130890205001,"Block Group 1, Census Tract 205, DeKalb County, Georgia",1193,273,475,183,532,163,19,30,34,37,0,13,98,152,35,43,0,13,35,43,,,,,,,,,,,,,,,,,,
1500000US130890205002,130890205002,"Block Group 2, Census Tract 205, DeKalb County, Georgia",1722,256,628,148,1021,248,0,13,14,16,0,13,35,50,24,27,14,21,10,17,,,,,,,,,,,,,,,,,,
1500000US130890206001,130890206001,"Block Group 1, Census Tract 206, DeKalb County, Georgia",616,186,216,96,375,157,0,13,0,13,0,13,0,13,25,26,0,13,25,26,,,,,,,,,,,,,,,,,,
1500000US130890206002,130890206002,"Block Group 2, Census Tract 206, DeKalb County, Georgia",1433,252,559,135,787,221,0,13,62,78,0,13,10,17,15,17,0,13,15,17,,,,,,,,,,,,,,,,,,
1500000US130890207001,130890207001,"Block Group 1, Census Tract 207, DeKalb County, Georgia",1717,249,820,164,848,252,0,13,0,13,0,13,20,27,29,18,0,13,29,18,,,,,,,,,,,,,,,,,,
1500000US130890207002,130890207002,"Block Group 2, Census Tract 207, DeKalb County, Georgia",528,111,326,73,149,92,0,13,22,29,0,13,0,13,31,23,0,13,31,23,,,,,,,,,,,,,,,,,,
1500000US130890208011,130890208011,"Block Group 1, Census Tract 208.01, DeKalb County, Georgia",1041,236,783,193,228,127,0,13,21,34,0,13,0,13,9,15,0,13,9,15,,,,,,,,,,,,,,,,,,
1500000US130890208012,130890208012,"Block Group 2, Census Tract 208.01, DeKalb County, Georgia",1559,249,663,167,862,205,0,13,0,13,0,13,7,13,27,30,0,13,27,30,,,,,,,,,,,,,,,,,,
1500000US130890208021,130890208021,"Block Group 1, Census Tract 208.02, DeKalb County, Georgia",713,176,383,140,290,117,0,13,11,17,0,13,0,13,29,29,0,13,29,29,,,,,,,,,,,,,,,,,,
1500000US130890208022,130890208022,"Block Group 2, Census Tract 208.02, DeKalb County, Georgia",1720,266,377,150,1229,278,0,13,114,104,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890208023,130890208023,"Block Group 3, Census Tract 208.02, DeKalb County, Georgia",951,247,514,151,408,228,0,13,10,17,0,13,0,13,19,22,0,13,19,22,,,,,,,,,,,,,,,,,,
1500000US130890208024,130890208024,"Block Group 4, Census Tract 208.02, DeKalb County, Georgia",873,258,298,110,539,262,0,13,6,10,0,13,0,13,30,48,0,13,30,48,,,,,,,,,,,,,,,,,,
1500000US130890209001,130890209001,"Block Group 1, Census Tract 209, DeKalb County, Georgia",1525,318,686,181,738,266,0,13,0,13,0,13,26,43,75,80,41,67,34,41,,,,,,,,,,,,,,,,,,
1500000US130890209002,130890209002,"Block Group 2, Census Tract 209, DeKalb County, Georgia",1235,413,724,294,511,331,0,13,0,13,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890209003,130890209003,"Block Group 3, Census Tract 209, DeKalb County, Georgia",1776,641,529,241,1221,671,0,13,0,13,0,13,26,43,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890209004,130890209004,"Block Group 4, Census Tract 209, DeKalb County, Georgia",1164,562,346,130,818,543,0,13,0,13,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890211011,130890211011,"Block Group 1, Census Tract 211.01, DeKalb County, Georgia",3784,220,3100,293,405,141,0,13,174,100,0,13,26,30,79,100,0,13,79,100,,,,,,,,,,,,,,,,,,
1500000US130890211021,130890211021,"Block Group 1, Census Tract 211.02, DeKalb County, Georgia",209,100,109,91,50,81,0,13,50,79,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890211022,130890211022,"Block Group 2, Census Tract 211.02, DeKalb County, Georgia",1757,287,1482,301,178,107,0,13,75,105,13,21,0,13,9,14,9,14,0,13,,,,,,,,,,,,,,,,,,
1500000US130890211023,130890211023,"Block Group 3, Census Tract 211.02, DeKalb County, Georgia",1142,227,671,206,227,103,0,13,115,63,0,13,99,125,30,27,15,20,15,18,,,,,,,,,,,,,,,,,,
1500000US130890211024,130890211024,"Block Group 4, Census Tract 211.02, DeKalb County, Georgia",2203,385,1931,360,160,143,0,13,100,84,0,13,0,13,12,20,0,13,12,20,,,,,,,,,,,,,,,,,,
1500000US130890212021,130890212021,"Block Group 1, Census Tract 212.02, DeKalb County, Georgia",3004,480,2500,425,365,195,0,13,92,90,0,13,0,13,47,63,0,13,47,63,,,,,,,,,,,,,,,,,,
1500000US130890212022,130890212022,"Block Group 2, Census Tract 212.02, DeKalb County, Georgia",1914,465,1594,451,66,107,0,13,116,83,0,13,49,64,89,107,0,13,89,107,,,,,,,,,,,,,,,,,,
1500000US130890212023,130890212023,"Block Group 3, Census Tract 212.02, DeKalb County, Georgia",2386,517,2152,503,121,100,0,13,93,86,0,13,20,34,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890212041,130890212041,"Block Group 1, Census Tract 212.04, DeKalb County, Georgia",1253,356,755,345,56,90,171,164,36,64,0,13,210,152,25,59,0,13,25,59,,,,,,,,,,,,,,,,,,
1500000US130890212042,130890212042,"Block Group 2, Census Tract 212.04, DeKalb County, Georgia",1763,446,494,262,17,27,61,82,17,28,0,13,750,374,424,317,424,317,0,13,,,,,,,,,,,,,,,,,,
1500000US130890212043,130890212043,"Block Group 3, Census Tract 212.04, DeKalb County, Georgia",989,292,639,334,30,39,26,40,31,48,0,13,246,181,17,26,17,26,0,13,,,,,,,,,,,,,,,,,,
1500000US130890212081,130890212081,"Block Group 1, Census Tract 212.08, DeKalb County, Georgia",2432,392,1454,277,402,150,220,305,94,71,0,13,90,107,172,151,0,13,172,151,,,,,,,,,,,,,,,,,,
1500000US130890212082,130890212082,"Block Group 2, Census Tract 212.08, DeKalb County, Georgia",1600,240,1098,229,58,73,0,13,394,95,0,13,0,13,50,43,0,13,50,43,,,,,,,,,,,,,,,,,,
1500000US130890212091,130890212091,"Block Group 1, Census Tract 212.09, DeKalb County, Georgia",1167,337,829,282,107,87,0,13,231,241,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890212092,130890212092,"Block Group 2, Census Tract 212.09, DeKalb County, Georgia",1516,299,1151,273,155,118,0,13,149,134,0,13,0,13,61,52,22,33,39,47,,,,,,,,,,,,,,,,,,
1500000US130890212093,130890212093,"Block Group 3, Census Tract 212.09, DeKalb County, Georgia",2041,310,1338,247,224,142,29,42,369,162,33,66,0,13,48,62,0,13,48,62,,,,,,,,,,,,,,,,,,
