Precinct,Voters,PeterAman,RohitAmmanamanchi,KeishaLanceBottoms,JohnEaves,VincentFort,KwanzaHall,CeasarMitchell,MaryNorwood,MichaelSterling,CathyWoolard,GlennWrightson,Votes
01A,2891,88,1,176,9,126,52,171,188,2,494,3,1310
01B,3532,136,5,175,11,172,82,199,238,0,646,4,1668
01C,1291,4,0,103,0,44,10,17,27,0,11,0,216
01D,469,1,0,47,2,24,8,44,18,0,24,0,168
01E,3129,142,6,160,16,119,58,195,231,3,519,5,1454
01F,1178,5,1,71,2,32,12,26,13,0,9,0,171
01G,1768,24,3,159,4,92,21,62,48,0,79,0,492
01H,710,4,0,83,5,18,7,17,15,1,2,0,152
01I,1,0,0,0,0,0,0,1,0,0,1,0,2
01J,2213,15,5,228,8,64,36,84,77,2,37,0,556
01P,1137,2,0,133,2,41,15,22,40,2,2,0,259
01R,1229,1,1,111,2,30,7,14,16,0,1,0,183
01S,1583,6,0,168,5,43,20,41,37,0,12,1,333
01T,1321,21,2,103,3,48,18,45,51,1,54,0,346
02A,3596,114,6,122,8,62,32,56,238,0,342,1,981
02B,3347,43,0,167,5,42,46,71,76,2,118,0,570
02C,1842,33,1,162,10,72,50,37,74,3,92,0,534
02D,3855,88,2,215,21,99,163,104,114,1,283,0,1090
02E,1784,171,0,43,11,102,64,39,93,0,359,3,885
02F1,2676,92,3,71,6,109,59,36,116,1,421,2,916
02F2,696,17,0,31,0,13,20,13,22,0,73,0,189
02G,3049,130,2,115,7,75,127,71,112,1,437,3,1080
02J,2009,77,7,44,12,65,48,32,145,0,312,1,743
02K,1298,52,1,40,4,56,29,12,91,0,190,1,476
02L1,5467,153,1,206,9,110,73,71,347,1,582,1,1554
02L2,1018,26,1,31,2,14,9,6,46,1,100,0,236
02S,658,12,0,42,1,38,33,17,16,0,46,1,206
02W,457,6,0,23,0,5,4,11,21,0,30,0,100
03A,1839,4,0,181,9,52,21,48,46,2,3,1,367
03B,522,5,0,31,0,8,0,2,4,0,3,0,53
03C,1411,5,0,180,4,63,16,45,45,0,1,1,360
03D,928,2,0,80,2,31,11,27,21,0,7,0,181
03E,2031,18,1,189,5,56,24,67,42,1,17,0,420
03F,1742,31,2,129,4,28,24,42,65,0,62,0,387
03G,656,5,0,52,0,26,8,20,22,1,5,0,139
03H,839,4,1,81,0,14,4,31,25,0,1,0,161
03I,1241,15,3,16,2,28,5,4,13,0,34,0,120
03L,541,2,0,47,0,20,4,11,23,1,0,0,108
03M,673,29,0,32,3,22,11,18,54,0,59,0,228
03N,2046,10,2,140,3,45,18,43,40,0,10,0,311
03P1A,3372,28,3,159,10,68,34,54,70,0,106,0,532
03P2,17,0,0,1,0,1,0,0,1,0,0,0,3
03S,674,2,0,78,2,21,10,26,19,0,4,1,163
03T,1405,13,1,159,5,41,31,48,31,0,6,0,335
