Id,Id2,Geography,Total,Male,Myoung,Mmid,Mold,Female,Fyoung,Fmid,Fold,Young,Mid,Old
1500000US130890201001,130890201001,"Block Group 1, Census Tract 201, DeKalb County, Georgia",1908,992,257,423,84,916,219,402,44,476,825,128
1500000US130890202001,130890202001,"Block Group 1, Census Tract 202, DeKalb County, Georgia",901,438,88,137,81,463,103,205,94,191,342,175
1500000US130890202002,130890202002,"Block Group 2, Census Tract 202, DeKalb County, Georgia",1188,612,340,222,8,576,313,162,28,653,384,36
1500000US130890203001,130890203001,"Block Group 1, Census Tract 203, DeKalb County, Georgia",840,436,88,228,21,404,114,159,35,202,387,56
1500000US130890203002,130890203002,"Block Group 2, Census Tract 203, DeKalb County, Georgia",1049,571,205,176,29,478,222,106,13,427,282,42
1500000US130890203003,130890203003,"Block Group 3, Census Tract 203, DeKalb County, Georgia",1930,942,371,377,40,988,439,303,51,810,680,91
1500000US130890204001,130890204001,"Block Group 1, Census Tract 204, DeKalb County, Georgia",1684,823,194,319,44,861,445,265,33,639,584,77
1500000US130890204002,130890204002,"Block Group 2, Census Tract 204, DeKalb County, Georgia",901,397,128,161,6,504,203,154,46,331,315,52
1500000US130890205001,130890205001,"Block Group 1, Census Tract 205, DeKalb County, Georgia",1193,536,183,202,88,657,233,156,162,416,358,250
1500000US130890205002,130890205002,"Block Group 2, Census Tract 205, DeKalb County, Georgia",1722,867,306,299,118,855,309,351,93,615,650,211
1500000US130890206001,130890206001,"Block Group 1, Census Tract 206, DeKalb County, Georgia",616,248,190,10,34,368,172,44,46,362,54,80
1500000US130890206002,130890206002,"Block Group 2, Census Tract 206, DeKalb County, Georgia",1433,743,329,191,39,690,263,228,48,592,419,87
1500000US130890207001,130890207001,"Block Group 1, Census Tract 207, DeKalb County, Georgia",1717,886,445,209,59,831,265,333,84,710,542,143
1500000US130890207002,130890207002,"Block Group 2, Census Tract 207, DeKalb County, Georgia",528,239,106,68,30,289,136,67,58,242,135,88
1500000US130890208011,130890208011,"Block Group 1, Census Tract 208.01, DeKalb County, Georgia",1041,624,218,200,76,417,175,124,70,393,324,146
1500000US130890208012,130890208012,"Block Group 2, Census Tract 208.01, DeKalb County, Georgia",1559,821,245,272,123,738,227,283,152,472,555,275
1500000US130890208021,130890208021,"Block Group 1, Census Tract 208.02, DeKalb County, Georgia",713,334,99,103,40,379,94,154,54,193,257,94
1500000US130890208022,130890208022,"Block Group 2, Census Tract 208.02, DeKalb County, Georgia",1720,763,256,218,53,957,376,165,151,632,383,204
1500000US130890208023,130890208023,"Block Group 3, Census Tract 208.02, DeKalb County, Georgia",951,396,145,96,19,555,201,138,70,346,234,89
1500000US130890208024,130890208024,"Block Group 4, Census Tract 208.02, DeKalb County, Georgia",873,335,90,145,49,538,128,339,13,218,484,62
1500000US130890209001,130890209001,"Block Group 1, Census Tract 209, DeKalb County, Georgia",1525,683,298,179,112,842,253,320,184,551,499,296
1500000US130890209002,130890209002,"Block Group 2, Census Tract 209, DeKalb County, Georgia",1235,738,202,292,170,497,155,158,62,357,450,232
1500000US130890209003,130890209003,"Block Group 3, Census Tract 209, DeKalb County, Georgia",1776,918,390,228,86,858,419,269,54,809,497,140
1500000US130890209004,130890209004,"Block Group 4, Census Tract 209, DeKalb County, Georgia",1164,634,240,171,120,530,79,266,38,319,437,158
1500000US130890211011,130890211011,"Block Group 1, Census Tract 211.01, DeKalb County, Georgia",3784,1908,392,768,217,1876,391,740,327,783,1508,544
1500000US130890211021,130890211021,"Block Group 1, Census Tract 211.02, DeKalb County, Georgia",209,105,93,12,0,104,92,12,0,185,24,0
1500000US130890211022,130890211022,"Block Group 2, Census Tract 211.02, DeKalb County, Georgia",1757,813,164,376,58,944,323,349,120,487,725,178
1500000US130890211023,130890211023,"Block Group 3, Census Tract 211.02, DeKalb County, Georgia",1142,520,441,61,0,622,437,148,20,878,209,20
1500000US130890211024,130890211024,"Block Group 4, Census Tract 211.02, DeKalb County, Georgia",2203,790,256,312,140,1413,722,385,228,978,697,368
1500000US130890212021,130890212021,"Block Group 1, Census Tract 212.02, DeKalb County, Georgia",3004,1504,493,449,284,1500,621,460,227,1114,909,511
1500000US130890212022,130890212022,"Block Group 2, Census Tract 212.02, DeKalb County, Georgia",1914,1007,132,427,112,907,259,273,135,391,700,247
1500000US130890212023,130890212023,"Block Group 3, Census Tract 212.02, DeKalb County, Georgia",2386,1218,368,350,142,1168,294,368,236,662,718,378
1500000US130890212041,130890212041,"Block Group 1, Census Tract 212.04, DeKalb County, Georgia",1253,676,412,124,0,577,255,60,0,667,184,0
